8.7.1.2,1,-,不適合製品の管理プロセスにおいて、顧客の要求事項を満たすために組織が取るべき最初のアクションは何ですか？,選択肢a：顧客に不適合製品の存在を通知する,選択肢b：不適合製品を隔離し、識別する,選択肢c：不適合製品の原因を特定し、是正措置を実施する,b,適合した例：不適合製品が発見された際、組織はすぐに該当製品を隔離し、識別する。適合していない例：不適合製品が発見された際、組織は顧客への通知を先に行い、製品の隔離や識別を後回しにする。要求事項の概要詳細解説：組織は、不適合製品に対して該当する顧客規定の管理に従わなければならない。顧客固有要求事項に従い、不適合製品の管理プロセスを適切に実施することが求められる。
8.7.1.2,2,-,組織が不適合製品の管理プロセスを実施する際、どの文書が最も重要な参考資料となりますか？,選択肢a：組織の品質マニュアル,選択肢b：顧客固有要求事項,選択肢c：ISO 9001規格,b,適合した例：組織は顧客固有要求事項を参照し、不適合製品の管理プロセスに従って行動する。適合していない例：組織は自社の品質マニュアルやISO 9001規格のみを参照し、顧客固有要求事項を無視して不適合製品の管理プロセスを実施する。要求事項の概要詳細解説：組織は、不適合製品に対して該当する顧客規定の管理に従わなければならない。顧客固有要求事項に従い、不適合製品の管理プロセスを適切に実施することが求められる。
8.7.1.2,3,-,不適合製品が発見された際、組織が最初に行うべきことは何ですか？,選択肢a：不適合製品を廃棄する,選択肢b：顧客に連絡して許可を求める,選択肢c：顧客の固有要求事項に従って不適合製品の管理プロセスを実施する,c,適合した例：組織は顧客の固有要求事項に従って、不適合製品の管理プロセスを適切に実施する。適合していない例：組織は不適合製品をただちに廃棄し、顧客の固有要求事項を無視する。要求事項の概要詳細解説：組織は、不適合製品に対して該当する顧客規定の管理に従わなければならない。顧客固有要求事項に従い、不適合製品の管理プロセスを適切に実施することが求められる。
8.7.1.2,4,-,顧客固有要求事項が明示的に定められていない場合、組織はどのように不適合製品の管理プロセスを実施すべきですか？,選択肢a：組織の独自の基準に従って管理プロセスを実施する,選択肢b：ISO 9001規格に従って管理プロセスを実施する,選択肢c：顧客と協議して管理プロセスを決定する,c,適合した例：組織は顧客と協議し、不適合製品の管理プロセスを決定する。適合していない例：組織はISO 9001規格や自社の基準のみを参照し、顧客との協議を省略して不適合製品の管理プロセスを実施する。要求事項の概要詳細解説：組織は、不適合製品に対して該当する顧客規定の管理に従わなければならない。顧客固有要求事項が明示的に定められていない場合でも、顧客と協議して管理プロセスを決定することが求められる。
8.7.1.2,5,-,不適合製品が発見された際に実施すべき是正措置の選択に関して、どのような観点を重視すべきですか？,選択肢a：コストと効果のバランス,選択肢b：顧客固有要求事項の遵守,選択肢c：製品のリコールが最小限になるような対策,b,適合した例：組織は顧客固有要求事項を遵守する是正措置を優先的に選択する。適合していない例：組織はコストやリコールの最小化を最優先し、顧客固有要求事項を無視する。要求事項の概要詳細解説：組織は、不適合製品に対して該当する顧客規定の管理に従わなければならない。是正措置の選択において、顧客固有要求事項の遵守を重視することが求められる。
8.7.1.2,6,-,組織が不適合製品の管理プロセスを適切に実施していることを確認するために、最も効果的な監査方法は何ですか？,選択肢a：自己監査,選択肢b：第二者監査,選択肢c：顧客監査,c,適合した例：組織は顧客監査を受け、不適合製品の管理プロセスが顧客固有要求事項に従って適切に実施されていることを確認する。適合していない例：組織は自己監査や第二者監査のみを行い、顧客の視点を無視して不適合製品の管理プロセスを実施する。要求事項の概要詳細解説：組織は、不適合製品に対して該当する顧客規定の管理に従わなければならない。顧客監査によって、管理プロセスが顧客固有要求事項に従って適切に実施されていることを確認することが求められる。
8.7.1.2,7,-,不適合製品の再発が頻繁に起こる場合、組織はどのようなアプローチを取るべきですか？,選択肢a：製造プロセスの見直しを行う,選択肢b：顧客固有要求事項に基づいた是正措置の強化,選択肢c：すべての不適合製品に対して一律の処理方法を適用する,a,適合した例：組織は製造プロセスの見直しを行い、不適合製品の再発防止策を実施する。適合していない例：組織は一律の処理方法を適用し、製造プロセスの根本的な問題を解決しないまま不適合製品の管理プロセスを実施する。要求事項の概要詳細解説：組織は、不適合製品に対して該当する顧客規定の管理に従わなければならない。不適合製品の再発が頻繁に起こる場合、製造プロセスの見直しや再発防止策の実施が求められる。
8.7.1.2,8,-,不適合製品が発見された際、組織の対応速度が遅れる原因として最も考えられるものは何ですか？,選択肢a：情報共有の遅れ,選択肢b：適切な指導者の不在,選択肢c：顧客固有要求事項の不十分な理解,c,適合した例：組織は顧客固有要求事項を十分に理解し、迅速に不適合製品の管理プロセスを実施する。適合していない例：組織は顧客固有要求事項の理解が不十分であるため、不適合製品の管理プロセスが遅れる。要求事項の概要詳細解説：組織は、不適合製品に対して該当する顧客規定の管理に従わなければならない。顧客固有要求事項の不十分な理解が、不適合製品の管理プロセスの遅れの原因となる可能性がある。
8.7.1.2,9,-,組織が不適合製品を再発防止のために取り組むべき最も重要なアクションは何ですか？,選択肢a：不適合製品の原因を特定し、是正措置を実施する,選択肢b：顧客固有要求事項を頻繁に確認する,選択肢c：全ての従業員に対して不適合製品の取り扱い方を教育する,a,適合した例：組織は不適合製品の原因を特定し、是正措置を実施して再発防止に努める。適合していない例：組織は顧客固有要求事項の確認や従業員への教育のみに焦点を当て、不適合製品の原因特定や是正措置の実施を怠る。要求事項の概要詳細解説：組織は、不適合製品に対して該当する顧客規定の管理に従わなければならない。再発防止のためには、不適合製品の原因を特定し、是正措置を実施することが最も重要である。
8.7.1.2,10,-,組織が顧客固有要求事項を満たすために最も重要な要素は何ですか？,選択肢a：品質マネジメントシステムの構築,選択肢b：顧客固有要求事項の遵守,選択肢c：製品の品質向上,b,適合した例：組織は顧客固有要求事項を遵守し、不適合製品の管理プロセスを適切に実施する。適合していない例：組織は品質マネジメントシステムの構築や製品の品質向上に注力するが、顧客固有要求事項を無視する。要求事項の概要詳細解説：組織は、不適合製品に対して該当する顧客規定の管理に従わなければならない。顧客固有要求事項の遵守が最も重要な要素であり、その他の要素も重要ではあるが、顧客固有要求事項を満たすことが最優先である。
