8.7.1.4,1,手直し製品の管理において、リスク分析（FMEAのような）の方法論を活用する目的は何ですか？,選択肢a：手直し工程におけるリスクを評価する,選択肢b：手直し工程におけるリソースを最適化する,選択肢c：手直し工程の効率を向上させる,a,要求事項の適合した例：手直し前にリスク分析を実施し、リスクを最小限に抑える手法を特定。適合していない例：手直し工程におけるリスク評価を行わず、手直しを実施。箇条要求事項の概要詳細解説：手直し製品の管理では、手直し工程におけるリスクを評価するためにリスク分析（FMEAのような）の方法論を活用することが求められている。
8.7.1.4,2,顧客から手直しの要求があった場合、組織が開始前に取得すべきものは何ですか？,選択肢a：手直しの実施方法,選択肢b：手直しの承認,選択肢c：手直しの費用見積もり,b,要求事項の適合した例：手直しを開始する前に、顧客から承認を取得。適合していない例：顧客の承認を得ずに手直しを開始。箇条要求事項の概要詳細解説：顧客から手直し要求があった場合、組織は手直しを開始する前に顧客から承認を取得しなければならない。
8.7.1.4,3,コントロールプランや他の関連する文書化した情報に従って検証する手直し確認の文書化したプロセスの目的は何ですか？,選択肢a：原仕様への適合を確認する,選択肢b：手直し工程の効率を向上させる,選択肢c：手直し工程のリスクを最小限に抑える,a,要求事項の適合した例：文書化された手直し確認プロセスを実施し、原仕様への適合を検証。適合していない例：原仕様への適合を確認せずに手直しを完了。箇条要求事項の概要詳細解説：組織は、コントロールプランまたは他の関連する文書化された情報に従って、原仕様への適合を検証する手直し確認の文書化されたプロセスを持たなければならない。
8.7.1.4,4,再検査及びトレーサビリティ要求事項を含む分解又は手直し指示書はどのような状態でなければならない？,選択肢a：適切な要員がアクセスでき、利用できる,選択肢b：すべての従業員がアクセスでき、利用できる,選択肢c：一部の要員がアクセスでき、利用できる,a,要求事項の適合した例：適切な要員が分解又は手直し指示書にアクセスし、利用可能。適合していない例：適切な要員がアクセスできず、利用できない状況。箇条要求事項の概要詳細解説：再検査及びトレーサビリティ要求事項を含む分解又は手直し指示書は、適切な要員がアクセスでき、利用できる状態でなければならない。
8.7.1.4,5,手直しした製品の処置に関する文書化した情報を保持する目的は何ですか？,選択肢a：処置の効率を向上させる,選択肢b：処置のコストを削減する,選択肢c：量、処置、処置日及び該当するトレーサビリティ情報を含める,c,要求事項の適合した例：手直しした製品の処置に関する文書化された情報を適切に保持。適合していない例：手直しした製品の処置に関する情報を保持しない。箇条要求事項の概要詳細解説：組織は、量、処置、処置日及び該当するトレーサビリティ情報を含めて、手直しした製品の処置に関する文書化した情報を保持しなければならない。
8.7.1.4,6,修理される製品の特別採用について取得すべきものは何ですか？,選択肢a：顧客からの正式許可,選択肢b：顧客からの口頭承認,選択肢c：内部の正式許可,a,要求事項の適合した例：修理される製品の特別採用について、文書化された顧客の正式許可を取得。適合していない例：口頭での承認のみを得て修理される製品の特別採用を実施。箇条要求事項の概要詳細解説：組織は、修理される製品の特別採用について、文書化した顧客の正式許可を取得しなければならない。
8.7.1.4,7,修理した製品の処置に関する文書化した情報を保持する際に含めるべき情報は何ですか？,選択肢a：量、処置、処置日及び該当するトレーサビリティ情報,選択肢b：処置の効率及び該当するトレーサビリティ情報,選択肢c：処置のコスト及び該当するトレーサビリティ情報,a,要求事項の適合した例：修理した製品の処置に関する文書化された情報に、量、処置、処置日及び該当するトレーサビリティ情報を含める。適合していない例：処置の効率やコストのみを記録し、他の情報を含めない。箇条要求事項の概要詳細解説：組織は、量、処置、処置日及び該当するトレーサビリティ情報を含めて、修理した製品の処置に関する文書化した情報を保持しなければならない。
8.7.1.4,8,手直し製品の管理において、リスク評価の手法として使用されるFMEAは何を意味しますか？,選択肢a：故障モード影響解析,選択肢b：機能モード影響解析,選択肢c：故障モードインタラクション解析,a,要求事項の適合した例：手直し製品のリスク評価にFMEA（故障モード影響解析）を使用する。適合していない例：リスク評価に適切な方法論を使用せず、手直し製品のリスク評価を実施。箇条要求事項の概要詳細解説：組織は、製品を手直しする判断の前に、手直し工程におけるリスクを評価するために、リスク分析（FMEAのような）の方法論を活用しなければならない。
8.7.1.4,9,手直し確認の文書化したプロセスに従って原仕様への適合を検証する際、どのような情報に従う必要がありますか？,選択肢a：コントロールプラン又は他の関連する文書化した情報,選択肢b：検証テスト計画又は他の関連する文書化した情報,選択肢c：リスク管理計画又は他の関連する文書化した情報,a,要求事項の適合した例：手直し確認の文書化したプロセスに従って原仕様への適合を検証し、コントロールプランや他の関連する文書化した情報に基づく。適合していない例：検証テスト計画やリスク管理計画のみに基づいて原仕様への適合を検証する。箇条要求事項の概要詳細解説：組織は、コントロールプラン又は他の関連する文書化した情報に従って、原仕様への適合を検証する手直し確認の文書化したプロセスをもたなければならない。
8.7.1.4,10,再検査及びトレーサビリティ要求事項を含む分解又は手直し指示書は、どのような要員がアクセスでき、利用できる必要がありますか？,選択肢a：適切な要員,選択肢b：全社員,選択肢c：上層部のみ,a,要求事項の適合した例：再検査及びトレーサビリティ要求事項を含む分解又は手直し指示書が適切な要員によってアクセス・利用される。適合していない例：分解又は手直し指示書が全社員や上層部のみにアクセス可能で、適切な要員がアクセスできない状況。箇条要求事項の概要詳細解説：再検査及びトレーサビリティ要求事項を含む、分解又は手直し指示書は、適切な要員がアクセスでき、利用できなければならない。
