8.5.1.3, 1, - ,段取り替え検証において、組織が実施しなければならないのはどの項目か？, 選択肢a：段取り替え要員のために文書化した情報を維持すること, 選択肢b：作業の立上げ、材料切替え、又は作業変更のような新しい段取り替えが実行される場合は、作業の段取り替えを検証すること, 選択肢c：段取り替え前の安定した工程との比較を行うこと,b, 適合例：新しい段取り替えが実行された際、作業の段取り替えを検証している, 不適合例：新しい段取り替えが実行された際、作業の段取り替えを検証していない, 箇条要求事項解説：作業の立上げ、材料切替え、又は作業変更のような新しい段取り替えが実行される場合は、作業の段取り替えを検証することが求められています。これにより、段取り替えが適切に行われているかを確認し、品質管理を向上させることができます。
8.5.1.3, 2, - ,段取り替え検証で統計的方法を使用する際、どのような比較が推奨されているか？, 選択肢a：規格との比較, 選択肢b：±1σ以内に入っているかどうか, 選択肢c：段取り前の安定した工程との比較,c, 適合例：段取り替え直後の製品特性が、段取り前の安定した工程との比較で評価されている, 不適合例：段取り替え直後の製品特性が、規格との比較で評価されている, 箇条要求事項解説：統計的方法による検証では、規格との比較ではなく、段取り前の安定した工程との比較が推奨されています。これにより、段取り替え後の製品特性が適切に管理されているかを確認することができます。これにより、段取り替え後の品質管理が向上し、製品の品質を維持することが可能になります。
8.5.1.3, 3, - ,初品と終品の妥当性確認で、どのような比較が求められているか？, 選択肢a：前ロット終品と段取り替えロット初品を比較, 選択肢b：同一ロット初品と終品を比較, 選択肢c：前ロット終品と同一ロット終品を比較,a, 適合例：前ロット終品と段取り替えロット初品を比較し、差異がある場合は設備や金型などを再調整している, 不適合例：前ロット終品と段取り替えロット初品を比較せず、そのまま生産を続けている, 箇条要求事項解説：初品と終品の妥当性確認では、前ロット終品と段取り替えロット初品を比較することが求められています。差異がある場合は、設備や金型などを再調整が必要です。
8.5.1.3, 4, - ,組織が検証に統計的方法を使用する際、どのような条件が適用されるか？, 選択肢a：該当する場合には、必ず統計的方法を使用する, 選択肢b：統計的方法は任意で使用できる, 選択肢c：該当する場合でも、統計的方法は使用しない,a, 適合例：該当する場合に統計的方法を適切に使用して段取り替え検証を行っている, 不適合例：該当する場合でも、統計的方法を使用せずに段取り替え検証を行っている, 箇条要求事項解説：該当する場合は、必ず統計的方法を使用して段取り替え検証を行うことが求められています。これにより、客観的な評価が可能になり、品質管理の精度が向上します。
8.5.1.3, 5, - ,どのような状況で初品と終品の妥当性確認を実施する必要があるか？, 選択肢a：同一ロットの初品と終品を比較評価する場合, 選択肢b：前ロット終品と段取り替えロット初品を比較する場合, 選択肢c：該当する場合には、必ず初品／終品の妥当性確認を実施する,c, 適合例：該当する場合に初品と終品の妥当性確認を実施し、必要に応じて再調整を行っている, 不適合例：該当する場合でも、初品と終品の妥当性確認を実施せずに生産を続けている, 箇条要求事項解説：該当する場合には、必ず初品／終品の妥当性確認を実施することが求められています。これにより、製品の品質を維持し、生産工程の安定性を確保することができます。
8.5.1.3, 6, - ,段取り替え検証の対象事象として正しいものはどれか？, 選択肢a：作業の立上げ／始業時／材料ロット変更時／金型交換時など, 選択肢b：作業の終了時, 選択肢c：生産ラインの稼働中,a, 適合例：作業の立上げ／始業時／材料ロット変更時／金型交換時などで段取り替え検証を行っている, 不適合例：作業の終了時や生産ラインの稼働中に段取り替え検証を行っている, 箇条要求事項解説：段取り替え検証の対象事象は、作業の立上げ／始業時／材料ロット変更時／金型交換時などです。これらの事象に対して段取り替え検証を行い、品質管理を向上させることが求められています。
8.5.1.3, 7, - ,段取り替え要員のために文書化した情報を維持する目的は何か？, 選択肢a：要員の教育とトレーニングをサポートするため, 選択肢b：要員の業績評価を行うため, 選択肢c：製品の品質を向上させるため,a, 適合例：段取り替え要員のために文書化した情報を維持し、教育とトレーニングのサポートに活用している, 不適合例：文書化した情報を維持せず、段取り替え要員の教育とトレーニングが不十分である, 箇条要求事項解説：段取り替え要員のために文書化した情報を維持する目的は、要員の教育とトレーニングをサポートすることです。これにより、段取り替え検証の品質が向上し、生産プロセスの安定性が確保されます。
8.5.1.3, 8, - ,次のうち、段取り替え検証において評価対象とならないものはどれか？, 選択肢a：作業の立上げ, 選択肢b：材料切替え, 選択肢c：生産ラインのクリーニング,c, 適合例：作業の立上げや材料切替えで段取り替え検証を実施している, 不適合例：生産ラインのクリーニングで段取り替え検証を実施している, 箇条要求事項解説：段取り替え検証は、作業の立上げ、材料切替え、または作業変更のような新しい段取り替えが実行される場合に実施されます。生産ラインのクリーニングは、段取り替え検証の対象ではありません。
8.5.1.3, 9, - ,段取り替え検証の記録はどのような目的で保持されるべきか？, 選択肢a：品質監査のため, 選択肢b：生産コストの削減のため, 選択肢c：生産効率の向上のため,a, 適合例：品質監査の際に段取り替え検証の記録を提出し、品質管理の状況を評価している, 不適合例：段取り替え検証の記録を保持せず、品質監査時に適切な評価ができない, 箇条要求事項解説：段取り替え検証の記録は、品質監査のために保持されるべきです。これにより、品質管理の状況を適切に評価し、改善に役立てることができます。
8.5.1.3, 10, - ,統計的方法による検証の推奨に関して、次のうち正しいものはどれか？, 選択肢a：規格内に入っているかどうかを確認する, 選択肢b：±１σ以内に入っているかどうかを確認する, 選択肢c：規格との比較ではなく、段取り前の安定した工程との比較を行う,c, 適合例：統計的方法による検証で、規格との比較ではなく段取り前の安定した工程との比較を行っている, 不適合例：規格との比較のみで統計的方法による検証を行っている, 箇条要求事項解説：統計的方法による検証では、規格との比較ではなく、段取り前の安定した工程との比較が推奨されています。これにより、工程の安定性と品質管理が適切に評価されます。
