7.2.2,1,-,7.2.2の要求事項はどのような要員に適用されるか？,選択肢a：正社員のみ,選択肢b：契約社員や派遣社員も含む,選択肢c：管理職のみ,b,要求事項の適合した例：正社員、契約社員、派遣社員が業務を通じた教育訓練（OJT）を受ける。適合していない例：正社員のみが業務を通じた教育訓練（OJT）を受ける。概要詳細解説：7.2.2の要求事項は、品質要求事項への適合、内部要求事項、規制又は法令要求事項に影響する、新規の又は変更された責任を負う要員に対して適用される。これには、契約又は派遣の要員も含まれる。
7.2.2,2,-,業務を通じた教育訓練（OJT）に対する詳細な要求レベルはどのように決定されるか？,選択肢a：要員の年齢に基づいて,選択肢b：要員の経験に基づいて,選択肢c：要員が有する教育及び日常業務を実行するために必要な任務の複雑さのレベルに見合って,c,要求事項の適合した例：要員が有する教育及び日常業務を実行するために必要な任務の複雑さのレベルに見合った詳細な要求レベルのOJTが提供される。適合していない例：要員の年齢や経験に基づいてOJTの要求レベルが決定される。概要詳細解説：業務を通じた教育訓練（OJT）に対する詳細な要求レベルは、要員が有する教育及び日常業務を実行するために必要な任務の複雑さのレベルに見合って決定される。
7.2.2,3,-,7.2.2の要求事項において、どのような目的で業務を通じた教育訓練（OJT）が提供されるか？,選択肢a：昇進のためのスキル向上,選択肢b：重要な顧客要求の満足と不適合品流出防止,選択肢c：社員のコミュニケーション能力の向上,b,要求事項の適合した例：新製品の立ち上げや工程変更に伴い、重要な顧客要求の満足と不適合品流出防止を目的としたOJTが提供される。適合していない例：昇進のためのスキル向上や社員のコミュニケーション能力向上を主目的としたOJTが提供される。概要詳細解説：7.2.2の要求事項では、品質要求事項への適合、内部要求事項、規制又は法令要求事項に影響する、新規の又は変更された責任を負う要員に対して、重要な顧客要求の満足と不適合品流出防止を目的とした業務を通じた教育訓練（OJT）が提供される。
7.2.2,4,-,7.2.2の要求事項では、品質に影響し得る仕事に従事する要員には何を知らせなければならないか？,選択肢a：組織のビジョンとミッション,選択肢b：顧客要求事項に対する不適合の因果関係,選択肢c：組織の年間目標,b,要求事項の適合した例：品質に影響し得る仕事に従事する要員に顧客要求事項に対する不適合の因果関係が教えられる。適合していない例：品質に影響し得る仕事に従事する要員に組織のビジョンとミッションや年間目標が教えられる。概要詳細解説：7.2.2の要求事項では、品質に影響し得る仕事に従事する要員には、顧客要求事項に対する不適合の因果関係について知らせなければならない。
7.2.2,5,-,7.2.2項の要求事項として、業務を通じた教育訓練（OJT）の提供において、どのような内容が含められなければならないか？,選択肢a：顧客要求事項の教育訓練のみ,選択肢b：品質要求事項への適合、内部要求事項、規制又は法令要求事項に関する教育訓練,選択肢c：顧客要求事項の教育訓練および品質要求事項への適合、内部要求事項、規制又は法令要求事項に関する教育訓練,c,要求事項の適合した例：新規の又は変更された責任を負う要員に対して、顧客要求事項の教育訓練および品質要求事項への適合、内部要求事項、規制又は法令要求事項に関する教育訓練が提供される。適合していない例：顧客要求事項の教育訓練のみが提供される。概要詳細解説：7.2.2の要求事項では、新規の又は変更された責任を負う要員に対し、業務を通じた教育訓練（OJT）を提供する際に、顧客要求事項の教育訓練および品質要求事項への適合、内部要求事項、規制又は法令要求事項に関する教育訓練が含められなければならない。
7.2.2,6,-,業務を通じた教育訓練（OJT）の対象となる要員はどのようなものか？,選択肢a：正社員のみ,選択肢b：正社員と契約社員,選択肢c：正社員、契約社員、派遣社員,c,要求事項の適合した例：正社員、契約社員、派遣社員すべてに業務を通じた教育訓練（OJT）が提供される。適合していない例：正社員のみに業務を通じた教育訓練（OJT）が提供される。概要詳細解説：7.2.2の要求事項では、業務を通じた教育訓練（OJT）の対象として、正社員、契約社員、派遣社員すべてが含まれる。
7.2.2,7,-,業務を通じた教育訓練（OJT）における要求レベルの決定基準は何か？,選択肢a：経営陣の決定,選択肢b：要員が有する教育及び日常業務を実行するために必要な任務の複雑さのレベル,選択肢c：顧客の要求,b,要求事項の適合した例：要員が有する教育及び日常業務を実行するために必要な任務の複雑さのレベルに応じてOJTの要求レベルが決定される。適合していない例：経営陣の決定に基づいてOJTの要求レベルが決定される。概要詳細解説：7.2.2の要求事項では、業務を通じた教育訓練（OJT）に対する詳細な要求レベルは、要員が有する教育及び日常業務を実行するために必要な任務の複雑さのレベルに見合っていなければならない。
7.2.2,8,-,品質に影響し得る仕事に従事する要員には、どのような情報を知らせる必要があるか？,選択肢a：組織の全体的な業績,選択肢b：顧客要求事項に対する不適合の因果関係,選択肢c：顧客からのフィードバック,b,要求事項の適合した例：品質に影響し得る仕事に従事する要員に対して、顧客要求事項に対する不適合の因果関係が伝えられる。適合していない例：品質に影響し得る仕事に従事する要員に対して、組織の全体的な業績や顧客からのフィードバックのみが伝えられる。概要詳細解説：7.2.2の要求事項では、品質に影響し得る仕事に従事する要員には、顧客要求事項に対する不適合の因果関係について知らせなければならない。
7.2.2,9,-,業務を通じた教育訓練（OJT）が新規の又は変更された責任を負う要員に対して提供される理由は何か？,選択肢a：組織の成長を促進するため,選択肢b：品質要求事項への適合、内部要求事項、規制又は法令要求事項に影響するため,選択肢c：顧客満足度を向上させるため,b,要求事項の適合した例：新規の又は変更された責任を負う要員に対して、品質要求事項への適合、内部要求事項、規制又は法令要求事項に影響するために業務を通じた教育訓練（OJT）が提供される。適合していない例：新規の又は変更された責任を負う要員に対して、組織の成長や顧客満足度向上のためだけに業務を通じた教育訓練（OJT）が提供される。概要詳細解説：7.2.2の要求事項では、業務を通じた教育訓練（OJT）は、品質要求事項への適合、内部要求事項、規制又は法令要求事項に影響する新規の又は変更された責任を負う要員に対して提供される。これには顧客要求事項の教育訓練も含まれる必要がある。目的は、これらの要求事項に適合し、組織内の品質管理を向上させることである。
7.2.2,10,-,業務を通じた教育訓練（OJT）において、どのような教育内容が含まれるべきか？,選択肢a：品質要求事項、内部要求事項、規制又は法令要求事項,選択肢b：組織のビジョンとミッション,選択肢c：チームビルディングとコミュニケーションスキル,a,要求事項の適合した例：業務を通じた教育訓練（OJT）では、品質要求事項、内部要求事項、規制又は法令要求事項に関する教育が行われる。適合していない例：業務を通じた教育訓練（OJT）で、主に組織のビジョンやミッション、チームビルディングやコミュニケーションスキルに焦点を当てた教育が行われる。概要詳細解説：7.2.2の要求事項では、業務を通じた教育訓練（OJT）において、品質要求事項、内部要求事項、規制又は法令要求事項に関する教育が含まれるべきである。
