7.1.5.3.2,30,-,外部試験所に委託する場合、その試験所がISO/IEC 17025に認定されていることを確認する方法はどれか。,選択肢a：試験所のホームページで認定証を確認する。,選択肢b：試験所から提供された校正証明書や試験報告書に国内認定機関のロゴマークが表示されていることを確認する。,選択肢c：試験所に電話して認定状況を尋ねる。,b,要求事項の適合した例：国内認定機関のロゴマークが表示された校正証明書や試験報告書を受領し、記録として保管する。適合していない例：国内認定機関のロゴマークが表示されていない校正証明書や試験報告書を受領し、そのまま使用する。箇条要求事項の概要詳細解説：外部試験所がISO/IEC 17025に認定されていることは、校正証明書や試験報告書に国内認定機関のロゴマークが表示されていることで確認できる。ホームページや電話での確認は不十分である。
7.1.5.3.2,31,-,外部試験所に委託する場合、その試験所が明確に規定された試験所適用範囲を持っていることを確認する方法はどれか。,選択肢a：試験所から提供された校正証明書や試験報告書に当該の検査、試験、又は校正サービスが含まれていることを確認する。,選択肢b：試験所から提供された見積書や請求書に当該の検査、試験、又は校正サービスが記載されていることを確認する。,選択肢c：試験所から提供されたカタログやパンフレットに当該の検査、試験、又は校正サービスが紹介されていることを確認する。,a,要求事項の適合した例：試験所から提供された校正証明書や試験報告書に、委託した検査、試験、又は校正サービスが明記されていることを確認し、記録として保管する。適合していない例：試験所から提供された校正証明書や試験報告書に、委託した検査、試験、又は校正サービスが明記されていないまま使用する。箇条要求事項の概要詳細解説：外部試験所が必要とされる検査、試験、又は校正を遂行する能力を含む、明確に規定された試験所適用範囲を持っていることは、校正証明書や試験報告書に当該の検査、試験、又は校正サービスが含まれていることで確認できる。見積書や請求書、カタログやパンフレットなどの資料は不十分である。
7.1.5.3.2,32,-,非認定試験所を使用する場合の例として適切なものはどれか。,選択肢a：射出成型品の寸法測定を自社内で実施する。,選択肢b：プレス部品の脱脂処理の効果検証を協力会社に依頼する。,選択肢c：金型の硬度測定をJCSS認定の校正機関に依頼する。,b,要求事項の適合した例：協力会社に依頼する前に、その協力会社がIATF16949条項7.1.5.3.1の要求事項を満たしていることを評価し、証拠として記録する。適合していない例：協力会社に依頼する際に、その協力会社がIATF16949条項7.1.5.3.1の要求事項を満たしているかどうかを確認せずに依頼する。箇条要求事項の概要詳細解説：非認定試験所とは、ISO/IEC 17025又は国内同等規格に認定されていない試験所のことである。非認定試験所を使用する場合は、その試験所がIATF16949条項7.1.5.3.1の要求事項を満たしていることを組織が確実にする責任がある。自社内で実施する場合は内部試験所となり、JCSS認定の校正機関に依頼する場合は外部認定試験所となる。
7.1.5.3.2,33,-,外部試験所に委託する場合、その試験所がIATF16949条項7.1.5.3.1の要求事項を満たしていることを評価する方法はどれか。,選択肢a：試験所にIATF16949の認証証を提出させる。,選択肢b：試験所に自己評価チェックリストを提出させる。,選択肢c：試験所に対して組織が内部監査を実施する。,c,要求事項の適合した例：組織が非認定試験所に対して内部監査を実施し、その結果と改善活動を記録として保管する。適合していない例：組織が非認定試験所に対して内部監査を実施せず、その代わりにIATF16949の認証証や自己評価チェックリストを提出させる。箇条要求事項の概要詳細解説：非認定試験所を使用する場合は、その試験所がIATF16949条項7.1.5.3.1の要求事項を満たしていることを組織が確実にする責任がある。このためには、組織が非認定試験所に対して内部監査を実施することが必要である。IATF16949の認証証や自己評価チェックリストは、非認定試験所の能力や適用範囲を保証するものではない。
7.1.5.3.2,34,-,外部試験所から提供された校正証明書や試験報告書に国内認定機関のロゴマークが表示されていない場合、どのような対応が必要か。,選択肢a：校正証明書や試験報告書は無効とみなし、再発行を依頼する。,選択肢b：校正証明書や試験報告書は有効とみなし、そのまま使用する。,選択肢c：校正証明書や試験報告書は有効とみなし、国内認定機関のロゴマークを自分で貼り付ける。,a,要求事項の適合した例：外部試験所から提供された校正証明書や試験報告書に国内認定機関のロゴマークが表示されていないことを発見し、外部試験所に対して再発行を依頼する。適合していない例：外部試験所から提供された校正証明書や試験報告書に国内認定機関のロゴマークが表示されていないまま使用する。箇条要求事項の概要詳細解説：外部試験所がISO/IEC 17025に認定されていることは、校正証明書や試験報告書に国内認定機関のロゴマークが表示されていることで確認できる。国内認定機関のロゴマークが表示されていない場合は、校正証明書や試験報告書は無効とみなされる。自分でロゴマークを貼り付けることは不正行為である。
7.1.5.3.2,35,-,外部試験所に委託する場合、その試験所が必要とされる検査、試験、又は校正を遂行する能力を含む、明確に規定された試験所適用範囲を持っていない場合、どのような対応が必要か。,選択肢a：その試験所に対して組織が能力検証を実施し、その結果を記録として保管する。,選択肢b：その試験所に対して組織が顧客の承認を得ることを要求し、その証拠を記録として保管する。,選択肢c：その試験所に対して組織が別の試験所を探すことを要求し、その結果を記録として保管する。,a,要求事項の適合した例：外部試験所が必要とされる検査、試験、又は校正を遂行する能力を含む、明確に規定された試験所適用範囲を持っていないことを発見し、その試験所に対して組織が能力検証を実施し、その結果を記録として保管する。適合していない例：外部試験所が必要とされる検査、試験、又は校正を遂行する能力を含む、明確に規定された試験所適用範囲を持っていないまま使用する。箇条要求事項の概要詳細解説：外部試験所が必要とされる検査、試験、又は校正を遂行する能力を含む、明確に規定された試験所適用範囲を持っていない場合は、その試験所に対して組織が能力検証を実施することが必要である。能力検証の方法は、組織が定めた手法に基づいて行われる。能力検証の結果は、記録として保管される。顧客の承認や別の試験所の探索は、能力検証の代替とならない。
7.1.5.3.2,36,-,外部試験所から提供された校正証明書や試験報告書に不備や疑義がある場合、どのような対応が必要か。,選択肢a：校正証明書や試験報告書はそのまま使用し、不備や疑義は無視する。,選択肢b：校正証明書や試験報告書は破棄し、別の外部試験所に委託する。,選択肢c：校正証明書や試験報告書は外部試験所に返却し、不備や疑義の解消を求める。,c,要求事項の適合した例：外部試験所から提供された校正証明書や試験報告書に不備や疑義があることを発見し、外部試験所に返却し、不備や疑義の解消を求める。適合していない例：外部試験所から提供された校正証明書や試験報告書に不備や疑義があるまま使用する。箇条要求事項の概要詳細解説：外部試験所から提供された校正証明書や試験報告書は、組織が必要とする情報を正確かつ完全に含んでいることが必要である。不備や疑義がある場合は、外部試験所に返却し、不備や疑義の解消を求めることが必要である。そのまま使用したり、破棄したりすることは適切ではない。
7.1.5.3.2,37,-,外部試験所に委託する場合、その試験所がIATF16949条項7.1.5.3.1の要求事項を満たしていることを確実にする責任は誰にあるか。,選択肢a：組織にある。,選択肢b：外部試験所にある。,選択肢c：顧客にある。,a,要求事項の適合した例：組織が外部試験所に委託する場合、その試験所がIATF16949条項7.1.5.3.1の要求事項を満たしていることを確実にするために、内部監査や能力検証などの方法を用いる。適合していない例：組織が外部試験所に委託する場合、その試験所がIATF16949条項7.1.5.3.1の要求事項を満たしていることを確認せず、外部試験所や顧客に任せる。箇条要求事項の概要詳細解説：外部試験所に委託する場合、その試験所がIATF16949条項7.1.5.3.1の要求事項を満たしていることを確実にする責任は組織にある。外部試験所や顧客に任せることはできない。組織は、内部監査や能力検証などの方法を用いて、外部試験所の能力や適用範囲を評価し、その証拠を記録として保管することが必要である。
7.1.5.3.2,38,-,外部試験所から提供された校正証明書や試験報告書に不備や疑義がある場合、どのような対応が必要か。,選択肢a：校正証明書や試験報告書はそのまま使用し、不備や疑義は無視する。,選択肢b：校正証明書や試験報告書は破棄し、別の外部試験所に委託する。,選択肢c：校正証明書や試験報告書は外部試験所に返却し、不備や疑義の解消を求める。,c,要求事項の適合した例：外部試験所から提供された校正証明書や試験報告書に不備や疑義があることを発見し、外部試験所に返却し、不備や疑義の解消を求める。適合していない例：外部試験所から提供された校正証明書や試験報告書に不備や疑義があるまま使用する。箇条要求事項の概要詳細解説：外部試験所から提供された校正証明書や試験報告書は、組織が必要とする情報を正確かつ完全に含んでいることが必要である。不備や疑義がある場合は、外部試験所に返却し、不備や疑義の解消を求めることが必要である。そのまま使用したり、破棄したりすることは適切ではない。
7.1.5.3.2,39,-,外部試験所がISO/IEC 17025に認定されていることは、どのように確認できるか。,選択肢a：外部試験所のウェブサイトやパンフレットで確認できる。,選択肢b：外部試験所から提供された校正証明書や試験報告書で確認できる。,選択肢c：外部試験所から提供されたISO/IEC 17025の認証証で確認できる。,b,要求事項の適合した例：外部試験所から提供された校正証明書や試験報告書に国内認定機関のロゴマークが表示されていることで、外部試験所がISO/IEC 17025に認定されていることを確認する。適合していない例：外部試験所のウェブサイトやパンフレット、ISO/IEC 17025の認証証などで、外部試験所がISO/IEC 17025に認定されていることを確認する。箇条要求事項の概要詳細解説：外部試験所がISO/IEC 17025に認定されていることは、校正証明書や試験報告書は無効とみなされる。外部試験所のウェブサイトやパンフレット、ISO/IEC 17025の認証証などは、外部試験所の能力や適用範囲を保証するものではない。これらの情報は、外部試験所の選定や評価の参考にすることはできるが、最終的な判断は校正証明書や試験報告書に基づいて行わなければならない。
7.1.5.3.2,40,-,外部試験所から提供された校正証明書や試験報告書を受け取った後、組織が行うべきことは何か。,選択肢a：校正証明書や試験報告書を保管し、必要に応じて参照する。,選択肢b：校正証明書や試験報告書を確認し、不備や疑義がないことを確認する。,選択肢c：校正証明書や試験報告書をコピーし、関係者に配布する。,b,要求事項の適合した例：外部試験所から提供された校正証明書や試験報告書を受け取った後、組織がその内容を確認し、不備や疑義がないことを確認する。適合していない例：外部試験所から提供された校正証明書や試験報告書を受け取った後、組織がその内容を確認せずに保管したり、コピーしたりする。箇条要求事項の概要詳細解説：外部試験所から提供された校正証明書や試験報告書は、組織が必要とする情報を正確かつ完全に含んでいることが必要である。そのため、組織は受け取った後にその内容を確認し、不備や疑義がないことを確認することが必要である。保管やコピーだけでは不十分である。
