8.6.3,30,-,外観品目として顧客に指定された部品に対して、照明を含む評価のための適切な資源を提供する際に、どのような基準を用いるべきか。,選択肢a：証明の強度（ワット数）,選択肢b：照度（ルクス値）,選択肢c：色温度（ケルビン）,b,要求事項の適合した例：JIS照度基準に従って、製品外観を目視検査するための照度を測定し、記録する。要求事項の適合していない例：証明器具のワット数だけで照明を管理し、照度を測定しない。箇条要求事項の概要詳細解説：外観品目の評価には、照明が重要な要素である。照明は、照度（ルクス値）で管理する必要があり、証明の強度（ワット数）や色温度（ケルビン）では不十分である。
8.6.3,31,-,外観品目として顧客に指定された部品に対して、色、絞、光沢、金属製光沢、風合い、イメージの明瞭さ（DOI）のマスター及び触覚技術を必要に応じて用意する際に、どのような文書が必要か。,選択肢a：図面（要求のある場合）,選択肢b：関係するリスク分析（プロセスFMEA等々）,選択肢c：コントロールプラン及び標準化された業務指示書／作業員指示書,a,要求事項の適合した例：カーナビのタッチパネルの外観品目について、顧客とマスターサンプルを取り交わし、図面で色や風合いなどの仕様を明確にする。要求事項の適合していない例：樹脂製品の絞模様の外観品目について、図面やマスターサンプルを用意せず、リスク分析やコントロールプランだけで管理する。箇条要求事項の概要詳細解説：外観品目の評価には、マスターサンプルが重要な資源である。マスターサンプルは、図面で規定された仕様に基づいて作成し、顧客と取り交わす必要がある。リスク分析やコントロールプランは、外観品目の評価方法ではなく、管理方法である。
8.6.3,32,-,外観品目として顧客に指定された部品に対して、外観マスター及び評価設備の保全及び管理を行う際に、どのような方法を用いるべきか。,選択肢a：計測機器と同じ管理方法を用いる。,選択肢b：製造工程と同じ管理方法を用いる。,選択肢c：保管場所と同じ管理方法を用いる。,a,要求事項の適合した例：照度計やDOI測定器などの評価設備や外観マスターを計測機器として管理し、校正や保守を定期的に行う。要求事項の適合していない例：評価設備や外観マスターを製造工程や保管場所と同じように管理し、校正や保守を行わない。箇条要求事項の概要詳細解説：外観品目の評価設備や外観マスターは、製品外観の適合性を判断するために重要な役割を果たす。そのため、計測機器と同じように管理し、その正確性や信頼性を確保する必要がある。 
8.6.3,33,-,外観品目として顧客に指定された部品に対して、外観評価を実施する要員が力量をもちそれを実施する資格をもっていることの検証を行う際に、どのような方法を用いるべきか。,選択肢a：MSA（クロスタブ法）等々による評価方法。,選択肢b：ISO 19011等々による監査方法。,選択肢c：PDCAサイクル等々による改善方法。,a,要求事項の適合した例：MSA（クロスタブ法）等々により、外観評価員の再現性・再現性・一致率などを定期的に測定し、力量レベルや資格更新条件などを設定する。要求事項の適合していない例：ISO 19011等々により、外観評価員の監査能力や監査結果などを定期的に確認し、力量レベルや資格更新条件などを設定する。箇条要求事項の概要詳細解説：外観評価員は、製品外観の適合性を判断するために重要な役割を果たす。そのため、MSA（クロスタブ法）等々により、客観的かつ統計的な方法で力量レベルや資格更新条件などを検証する必要がある。
8.6.3,34,-,以下はIATF16949:2016 8.6.3 外観品目 の条文である。「注記」部分は何を意味するか。 注記： 安全関連の要求事項又は文書の特別承認は，顧客又は組織 内部プロセス によって行われるべきである。,選択肢a：安全関連の要求事項又は文書は、顧客や組織内部の責任者による追加の承認が必要であることを意味する。,選択肢b：安全関連の要求事項又は文書は、顧客や組織内部のプロセスによって変更されることがあることを意味する。,選択肢c：安全関連の要求事項又は文書は、顧客や組織内部のプロセスによって要求されることがあることを意味する。,a,要求事項の適合した例：エアバッグなどの安全関連の外観品目について、顧客や組織内部の責任者から特別な承認を得て、外観評価の方法や基準を決める。要求事項の適合していない例：ヘッドライトなどの安全関連の外観品目について、顧客や組織内部のプロセスに従わず、外観評価の方法や基準を勝手に変える。箇条要求事項の概要詳細解説：外観品目には、安全性に影響するものが含まれる場合がある。その場合、顧客や組織内部のプロセスに従って、特別な承認を得る必要がある。これは、安全性に関する責任やリスクを明確にするためである。
8.6.3,35,-,外観品目として顧客に指定された部品に対して、外観評価の結果を記録する際に、どのような内容を含めるべきか。,選択肢a：製品番号、検査日時、検査員、検査方法、検査結果、不適合品の処理方法。,選択肢b：製品番号、検査日時、検査員、検査方法、検査結果、不適合品の原因分析。,選択肢c：製品番号、検査日時、検査員、検査方法、検査結果、不適合品の改善策。,a,要求事項の適合した例：プレス部品の外観品目について、製品番号、検査日時、検査員、検査方法（目視検査）、検査結果（OK/NG）、不適合品の処理方法（廃棄）を記録する。要求事項の適合していない例：プレス部品の外観品目について、製品番号、検査日時、検査員だけを記録し、検査方法や結果などを記録しない。箇条要求事項の概要詳細解説：外観評価の結果は、製品外観の適合性を証明するために重要な記録である。そのため、製品番号や検査日時などの基本的な情報に加えて、検査方法や結果などの詳細な情報も含める必要がある。不適合品の原因分析や改善策は、外観評価の結果ではなく、是正措置や予防措置の一環である。
8.6.3,36,-,以下はIATF16949:2016 8.6.3 外観品目 の条文である。「顧客又は組織内部プロセス」部分は何を意味するか。 注記： 安全関連の要求事項又は文書の特別承認は，顧客又は組織 内部プロセス によって行われるべきである。,選択肢a：顧客又は組織内部プロセスとは、安全関連の要求事項又は文書を承認するために必要な手順や基準を意味する。,選択肢b：顧客又は組織内部プロセスとは、安全関連の要求事項又は文書を変更するために必要な手順や基準を意味する。,選択肢c：顧客又は組織内部プロセスとは、安全関連の要求事項又は文書を要求するために必要な手順や基準を意味する。,a,要求事項の適合した例：エアバッグなどの安全関連の外観品目について、顧客や組織内部の責任者から特別な承認を得て、外観評価の方法や基準を決める。要求事項の適合していない例：ヘッドライトなどの安全関連の外観品目について、顧客や組織内部のプロセスに従わず、外観評価の方法や基準を勝手に変える。箇条要求事項の概要詳細解説：外観品目には、安全性に影響するものが含まれる場合がある。その場合、顧客や組織内部のプロセスに従って、特別な承認を得る必要がある。これは、安全性に関する責任やリスクを明確にするためである。
8.6.3,37,-,外観品目として顧客に指定された部品に対して、外観評価の方法や基準を決める際に、どのような要素を考慮するべきか。,選択肢a：製品の用途、機能、安全性、耐久性など。,選択肢b：製品の形状、サイズ、重量、材質など。,選択肢c：製品の色、絞、光沢、金属製光沢、風合い、イメージの明瞭さ（DOI）など。,c,要求事項の適合した例：カーボン製品の外観品目について、顧客と協議し、製品の色や絞模様などの外観特性に関する方法や基準を決める。要求事項の適合していない例：射出成型製品の外観品目について、顧客と協議せず、製品の形状やサイズなどの寸法特性に関する方法や基準だけを決める。箇条要求事項の概要詳細解説：外観品目の評価方法や基準は、製品の外観特性に応じて決める必要がある。外観特性とは、製品の色や絞や光沢など、目視検査で判断できる特性である。寸法特性や機能特性は、外観特性ではない。
8.6.3,38,-,以下はIATF16949:2016 8.6.3 外観品目 の条文である。「組織」部分は何を意味するか。 ■外観品目として顧客に指定された 組織 の製造部品に対して，組織は，次の事項を提供しなければならない。,選択肢a：組織とは、IATF16949:2016 の適用範囲に含まれる自動車関連部品を製造する企業を意味する。,選択肢b：組織とは、IATF16949:2016 の認証を取得した自動車関連部品を製造する企業を意味する。,選択肢c：組織とは、IATF16949:2016 の要求事項に従って自動車関連部品を製造する企業を意味する。,c,要求事項の適合した例：金型設計・加工・組立・試作・量産まで一貫して行う自動車関連部品メーカーが、IATF16949:2016 の要求事項に従って外観品目に対する管理を行う。要求事項の適合していない例：金型設計・加工・組立・試作・量産まで一貫して行う自動車関連部品メーカーが、IATF16949:2016 の認証を取得していないために外観品目に対する管理を行わない。箇条要求事項の概要詳細解説：組織とは、IATF16949:2016 の要求事項に従って自動車関連部品を製造する企業を意味する。IATF16949:2016 の認証を取得しているかどうかは関係なく、顧客から指定された外観品目に対して管理責任がある。
8.6.3,39,-,外観品目として顧客に指定された部品に対して、外観評価の方法や基準が変更された場合に、どのような対応をするべきか。,選択肢a：顧客や組織内部の責任者に変更内容を報告し、承認を得る。,選択肢b：顧客や組織内部のプロセスに従って変更内容を文書化し、配布する。,選択肢c：顧客や組織内部の関係者に変更内容を教育し、理解を確認する。,b,要求事項の適合した例：プレス部品の外観品目について、顧客から新たな色や絞模様の要求があった場合、顧客や組織内部のプロセスに従って変更内容を文書化し、関係者に配布する。要求事項の適合していない例：プレス部品の外観品目について、顧客から新たな色や絞模様の要求があった場合、顧客や組織内部の責任者に報告せず、変更内容を文書化しない。箇条要求事項の概要詳細解説：外観評価の方法や基準は、顧客と協議して決める必要がある。そのため、変更された場合は、顧客や組織内部のプロセスに従って文書化し、関係者に配布する必要がある。これは、外観評価の一貫性と透明性を確保するためである。
8.6.3,40,-,外観品目として顧客に指定された部品に対して、外観評価の方法や基準を決めた後に、どのような確認をするべきか。,選択肢a：顧客や組織内部の責任者に確認を求める。,選択肢b：外観評価員に確認を求める。,選択肢c：製品の外観特性に関するデータを収集し、分析する。,c,要求事項の適合した例：カーボン製品の外観品目について、顧客と協議して決めた方法や基準に基づいて、製品の色や絞模様などの外観特性に関するデータを収集し、分析する。要求事項の適合していない例：射出成型製品の外観品目について、顧客と協議して決めた方法や基準に基づいて、外観評価員に確認を求めるだけで、データを収集しない。箇条要求事項の概要詳細解説：外観評価の方法や基準は、製品の外観特性に応じて決める必要がある。そのため、決めた後は、製品の外観特性に関するデータを収集し、分析することで、方法や基準が適切であるかどうかを確認する必要がある。
8.6.3,41,-,外観品目として顧客に指定された部品に対して、外観評価の方法や基準を文書化した後に、どのような管理をするべきか。,選択肢a：文書の改訂履歴や配布先を管理する。,選択肢b：文書の内容や効果を定期的に見直す。,選択肢c：文書の内容や効果を顧客に報告する。,b,要求事項の適合した例：カーボン製品の外観品目について、顧客と協議して決めた方法や基準を文書化した後、文書の内容や効果を定期的に見直し、必要に応じて改善する。要求事項の適合していない例：射出成型製品の外観品目について、顧客と協議して決めた方法や基準を文書化した後、文書の内容や効果を見直さず、そのまま放置する。箇条要求事項の概要詳細解説：外観評価の方法や基準を文書化した後は、その文書が有効であるかどうかを確認する必要がある。そのため、文書の内容や効果を定期的に見直し、顧客の要求や製品の変化に対応できるように改善する必要がある。
8.6.3,42,-,以下はIATF16949:2016 8.6.3 外観品目 の条文である。「外観評価員」部分は何を意味するか。 ■外観品目として顧客に指定された組織の製造部品に対して，組織は，次の事項を提供しなければならない。 ・ 外観評価員 が，力量，資格，教育及び再現性が確保されていること。,選択肢a：外観評価員とは、製品の外観特性を目視検査で判断する人を意味する。,選択肢b：外観評価員とは、製品の外観特性を測定器具で測定する人を意味する。,選択肢c：外観評価員とは、製品の外観特性に関するデータを収集し分析する人を意味する。,a,要求事項の適合した例：プレス部品の外観品目について、製品の色や絞模様などの外観特性を目視検査で判断する人が、力量や資格や教育や再現性が確保されていることを証明できる。要求事項の適合していない例：プレス部品の外観品目について、製品の色や絞模様などの外観特性を測定器具で測定する人が、力量や資格や教育や再現性が確保されていることを証明できない。箇条要求事項の概要詳細解説：外観評価員とは、製品の外観特性を目視検査で判断する人を意味する。目視検査は主観的な判断に影響される可能性があるため、外観評価員は力量や資格や教育や再現性が確保されていることが必要である。
8.6.3,43,-,外観品目として顧客に指定された部品に対して、外観評価員の力量や資格や教育や再現性を確保するために、どのような活動をするべきか。,選択肢a：外観評価員に定期的に外観評価の方法や基準を教育し、試験を行う。,選択肢b：外観評価員に定期的に外観評価の結果や改善策を報告させる。,選択肢c：外観評価員に定期的に外観評価の記録や不適合品の処理を確認する。,a,要求事項の適合した例：カーボン製品の外観品目について、製品の色や絞模様などの外観特性を目視検査で判断する人に、定期的に外観評価の方法や基準を教育し、試験を行って力量や資格や教育や再現性が確保されていることを確認する。要求事項の適合していない例：プレス部品の外観品目について、製品の色や絞模様などの外観特性を目視検査で判断する人に、定期的に外観評価の方法や基準を教育しない、または試験を行わない。箇条要求事項の概要詳細解説：外観評価員とは、製品の外観特性を目視検査で判断する人を意味する。目視検査は主観的な判断に影響される可能性があるため、外観評価員は力量や資格や教育や再現性が確保されていることが必要である。そのため、外観評価員に定期的に外観評価の方法や基準を教育し、試験を行うことで、その能力を維持・向上させる必要がある。
8.6.3,44,-,外観品目として顧客に指定された部品に対して、外観評価の方法や基準が顧客と一致していることを確認するために、どのような活動をするべきか。,選択肢a：顧客と定期的に外観評価の方法や基準を見直し、合意する。,選択肢b：顧客と定期的に外観評価の結果や改善策を共有し、フィードバックする。,選択肢c：顧客と定期的に外観評価の記録や不適合品の処理を報告し、承認する。,a,要求事項の適合した例：カーボン製品の外観品目について、顧客と定期的に外観評価の方法や基準を見直し、合意することで、外観評価が顧客と一致していることを確認する。要求事項の適合していない例：射出成型製品の外観品目について、顧客と外観評価の方法や基準を見直さず、そのまま使用することで、外観評価が顧客と一致していない可能性があることを確認しない。箇条要求事項の概要詳細解説：外観品目として顧客に指定された部品に対しては、外観評価の方法や基準が顧客と一致していることが重要である。そのため、顧客と定期的に外観評価の方法や基準を見直し、合意することで、その一致性を確保する必要がある。
8.6.3,45,-,外観品目として顧客に指定された部品に対して、外観評価の方法や基準が変更された場合に、どのような対応をするべきか。,選択肢a：外観評価の方法や基準の変更内容を文書化し、関係者に配布する。,選択肢b：外観評価の方法や基準の変更内容を顧客に報告し、承認を得る。,選択肢c：外観評価の方法や基準の変更内容を外観評価員に教育し、試験を行う。,b,要求事項の適合した例：カーボン製品の外観品目について、製品の色や絞模様などの外観特性に関する方法や基準が変更された場合、その変更内容を顧客に報告し、承認を得ることで、外観評価が顧客と一致していることを確認する。要求事項の適合していない例：射出成型製品の外観品目について、製品の色や絞模様などの外観特性に関する方法や基準が変更された場合、その変更内容を文書化し、関係者に配布するだけで、顧客に報告しない。箇条要求事項の概要詳細解説：外観評価の方法や基準が変更された場合は、その変更内容が顧客と一致していることを確認する必要がある。そのため、外観評価の方法や基準の変更内容を顧客に報告し、承認を得ることで、その一致性を確保する必要がある。
8.6.3,46,-,外観品目として顧客に指定された部品に対して、外観評価の記録をどのように管理するべきか。,選択肢a：外観評価の記録を製品ごとに分類し、保管する。,選択肢b：外観評価の記録を製品ごとに分類し、廃棄する。,選択肢c：外観評価の記録を製品ごとに分類せず、保管する。,a,要求事項の適合した例：カーボン製品の外観品目について、製品の色や絞模様などの外観特性を目視検査で判断した記録を製品ごとに分類し、保管することで、外観評価の履歴や状況を確認できる。要求事項の適合していない例：プレス部品の外観品目について、製品の色や絞模様などの外観特性を目視検査で判断した記録を製品ごとに分類せず、保管することで、外観評価の履歴や状況を確認できない。箇条要求事項の概要詳細解説：外観品目として顧客に指定された部品に対しては、外観評価の記録を管理することが重要である。そのため、外観評価の記録を製品ごとに分類し、保管することで、外観評価の履歴や状況を確認できるようにする必要がある。
