8.5.6.1.1,30,-,工程管理の一時的変更のリストには、どのような内容を含める必要があるか。,選択肢a：主要な工程管理と承認されたバックアップ法または代替法,選択肢b：主要な工程管理と承認されたバックアップ法または代替法とリスク分析結果,選択肢c：主要な工程管理と承認されたバックアップ法または代替法と内部承認者の署名,a,要求事項の適合した例：自動機の故障時にマニュアル加工に切り替える場合、自動機とマニュアル加工の両方をリストに記載し、内部で承認を得る。適合していない例：自動機の故障時にマニュアル加工に切り替える場合、自動機だけをリストに記載し、内部で承認を得ない。箇条要求事項の概要詳細解説：この条項は、工程管理（検査、測定、試験、ポカヨケ装置を含む）のリストを特定し、文書化し、維持することを求めている。バックアップ法または代替法が存在する場合は、それらもリストに含める必要がある。これは、工程管理の一時的変更が発生した際に、承認された方法で対応できるようにするためである。
8.5.6.1.1,31,-,工程管理の一時的変更を運用管理するプロセスを文書化する際に、どのような内容を含める必要があるか。,選択肢a：代替管理方法の使用条件と期間,選択肢b：代替管理方法の使用条件と期間と顧客への通知方法,選択肢c：代替管理方法の使用条件と期間と顧客への通知方法とリスク分析に基づく内部承認,c,要求事項の適合した例：画像検査機の故障時に目視検査に切り替える場合、目視検査を行う条件と期間を規定し、顧客への通知方法を定め、リスク分析（FMEA）に基づいて重大性と内部承認者を決定する。適合していない例：画像検査機の故障時に目視検査に切り替える場合、目視検査を行う条件と期間だけを規定し、顧客への通知方法やリスク分析（FMEA）に基づく内部承認者を決定しない。箇条要求事項の概要詳細解説：この条項は、代替管理方法の使用を運用管理するプロセスを文書化することを求めている。このプロセスには、代替管理方法の使用条件と期間、顧客への通知方法（必要な場合）、リスク分析（FMEA）に基づく重大性と内部承認者を含める必要がある。これは、代替管理方法が製品やサービスに与える影響や顧客満足度に関するリスクを最小限に抑えるためである。
8.5.6.1.1,32,-,工程管理の一時的変更が発生した場合に、コントロールプランでどのような対応が必要か。,選択肢a：コントロールプランを変更せずにそのまま実施する,選択肢b：コントロールプランを変更し、代替管理方法で実施する,選択肢c：コントロールプランを変更せずに代替管理方法で実施する,b,要求事項の適合した例：ポカヨケ装置の故障時に人的管理に切り替える場合、コントロールプランを変更し、人的管理で実施することを記載する。適合していない例：ポカヨケ装置の故障時に人的管理に切り替える場合、コントロールプランを変更せずにそのまま実施するか、コントロールプランを変更せずに人的管理で実施する。箇条要求事項の概要詳細解説：この条項は、コントロールプランに引用されている承認された代替工程管理方法のリストを維持し、定期的にレビューすることを求めている。また、標準作業指示書は各代替工程管理方法に対して利用可能でなければならないことも求めている。これは、コントロールプランが製品やサービスの品質特性や顧客要求事項を満たすことを保証するためである。
8.5.6.1.1,33,-,工程管理の一時的変更が発生した場合に、顧客への通知はどのように行う必要があるか。,選択肢a：通知は必ず行う,選択肢b：通知は必要に応じて行う,選択肢c：通知は行わなくてもよい,b,要求事項の適合した例：射出成型機の故障時に別の機種に切り替える場合、顧客の要求事項や契約に基づいて、通知の必要性を判断し、必要な場合は出荷前に顧客の承認を得る。適合していない例：射出成型機の故障時に別の機種に切り替える場合、顧客の要求事項や契約に関係なく、通知を行わないか、出荷後に通知する。箇条要求事項の概要詳細解説：この条項は、代替手法を使用して検査され又は試験された製品の出荷の前に、要求される場合、組織は顧客の承認を取得しなければならないことを求めている。この要求される場合とは、顧客の要求事項や契約によって異なることを意味する。したがって、組織は顧客との関係を考慮して、通知の必要性や方法を決定する必要がある。
8.5.6.1.1,34,-,工程管理の一時的変更が発生した場合に、標準作業指示書はどのように対応する必要があるか。,選択肢a：標準作業指示書は変更せずにそのまま使用する,選択肢b：標準作業指示書は変更し、代替管理方法で使用する,選択肢c：標準作業指示書は使用せずに代替管理方法で対応する,b,要求事項の適合した例：プレス部品脱脂処理装置の故障時に手洗いに切り替える場合、標準作業指示書を変更し、手洗いで使用することを記載する。適合していない例：プレス部品脱脂処理装置の故障時に手洗いに切り替える場合、標準作業指示書を変更せずにそのまま使用するか、標準作業指示書を使用せずに手洗いで対応する。箇条要求事項の概要詳細解説：この条項は、標準作業指示書は各代替工程管理方法に対して利用可能でなければならないことを求めている。これは、代替管理方法が現場で正しく実施されることを保証するためである。したがって、組織は代替管理方法が発生した際に、標準作業指示書を変更し、現場で利用可能にする必要がある。
8.5.6.1.1,35,-,工程管理の一時的変更が発生した場合に、緊急事態対応計画はどのように関係するか。,選択肢a：緊急事態対応計画は工程管理の一時的変更とは別のものである,選択肢b：緊急事態対応計画は工程管理の一時的変更に基づいて作成される,選択肢c：緊急事態対応計画は工程管理の一時的変更に対応する代替方法を含む,c,要求事項の適合した例：地震や火災などの緊急事態により、工程内の設備や治具が故障した場合、緊急事態対応計画に従って、承認された代替方法で工程管理を行う。適合していない例：地震や火災などの緊急事態により、工程内の設備や治具が故障した場合、緊急事態対応計画とは関係なく、自己判断で代替方法で工程管理を行う。箇条要求事項の概要詳細解説：この条項は、組織がプロセス管理（検査、測定、試験、エラー防止法を含む）のリストを特定し、文書化し、維持しなければならないことを求めている。そのリストには、主要なプロセス管理及び承認されたバックアップ法又は代替法を含めなければならない。この代替方法は、IATF16949:2016 6.1.2.3項の緊急事態対応計画に基づいて作成される。
8.5.6.1.1,36,-,工程管理の一時的変更が発生した場合に、コントロールプランはどのように対応する必要があるか。,選択肢a：コントロールプランは変更せずにそのまま使用する,選択肢b：コントロールプランは変更し、暫定工程管理方法で使用する,選択肢c：コントロールプランは使用せずに暫定工程管理方法で対応する,b,要求事項の適合した例：塗装ラインの塗装装置が故障した場合、コントロールプランを変更し、手塗りで使用することを記載する。適合していない例：塗装ラインの塗装装置が故障した場合、コントロールプランを変更せずにそのまま使用するか、コントロールプランを使用せずに手塗りで対応する。箇条要求事項の概要詳細解説：この条項は、組織が代替手法を使用して検査され又は試験された製品の出荷の前に、要求される場合、顧客の承認を取得しなければならないことを求めている。また、組織はコントロールプランに引用され、承認された代替工程管理方法のリストを維持し、定期的にレビューしなければならない。コントロールプランは暫定工程管理方法で使用できるように変更しなければならない。
8.5.6.1.1,37,-,工程管理の一時的変更が発生した場合に、作業手順書はどのように対応する必要があるか。,選択肢a：作業手順書は変更せずにそのまま使用する,選択肢b：作業手順書は変更し、暫定工程管理方法で使用する,選択肢c：作業手順書は使用せずに暫定工程管理方法で対応する,b,要求事項の適合した例：溶接ラインの溶接機が故障した場合、作業手順書を変更し、手溶接で使用することを記載する。適合していない例：溶接ラインの溶接機が故障した場合、作業手順書を変更せずにそのまま使用するか、作業手順書を使用せずに手溶接で対応する。箇条要求事項の概要詳細解説：この条項は、組織が暫定工程管理方法に対して利用可能な標準作業指示書を作成しなければならないことを求めている。標準作業指示書は暫定工程管理方法で使用できるように変更しなければならない。
8.5.6.1.1,38,-,工程管理の一時的変更が発生した場合に、暫定工程の終了及び正規工程への復帰プロセスはどのように実施する必要があるか。,選択肢a：暫定工程の終了及び正規工程への復帰プロセスは文書化せずに自己判断で実施する,選択肢b：暫定工程の終了及び正規工程への復帰プロセスは文書化し、4M変更管理規程と同期化し、管理しやすくする,選択肢c：暫定工程の終了及び正規工程への復帰プロセスは文書化し、顧客と協議しながら実施する,b,要求事項の適合した例：切削ラインの切削機が修理された場合、暫定工程の終了及び正規工程への復帰プロセスを文書化し、4M変更管理規程と同期化し、管理しやすくする。適合していない例：切削ラインの切削機が修理された場合、暫定工程の終了及び正規工程への復帰プロセスを文書化せずに自己判断で実施するか、顧客と協議しながら実施する。箇条要求事項の概要詳細解説：この条項は、組織が暫定工程から正規工程に戻す場合の検証プロセスを文書化しなければならないことを求めている。また、このプロセスを4M変更管理規程と同期化し、管理しやすくしなければならない。
8.5.6.1.1,39,-,工程管理の一時的変更が発生した場合に、暫定工程で生産された製品のトレーサビリティはどのように確保する必要があるか。,選択肢a：暫定工程で生産された製品は特に区別せずに通常通り出荷する,選択肢b：暫定工程で生産された製品はその生産ロットを特定可能にし、その詳細の記録を追跡し、確実に確認可能にする,選択肢c：暫定工程で生産された製品は顧客に通知せずに廃棄する,b,要求事項の適合した例：塗装ラインの塗装機が故障した場合、暫定工程で手塗りで対応する。手塗りで対応した製品はその生産ロットを特定可能にし、その詳細の記録を追跡し、確実に確認可能にする。適合していない例：塗装ラインの塗装機が故障した場合、暫定工程で手塗りで対応する。手塗りで対応した製品は特に区別せずに通常通り出荷するか、顧客に通知せずに廃棄する。箇条要求事項の概要詳細解説：この条項は、組織が暫定工程で生産された製品をトレーサビリティを確保しなければならないことを求めている。トレーサビリティとは、製品の履歴や位置を追跡し、確認できる能力のことである。トレーサビリティを確保することで、万が一不具合が発生した場合に、原因や範囲を特定しやすくなる。
8.5.6.1.1,40,-,工程管理の一時的変更が発生した場合に、暫定工程から正規工程へ戻す際の検証プロセスはどのように実施する必要があるか。,選択肢a：暫定工程から正規工程へ戻す際の検証プロセスは文書化せずに自己判断で実施する,選択肢b：暫定工程から正規工程へ戻す際の検証プロセスは文書化し、4M変更管理規程と同期化し、管理しやすくする,選択肢c：暫定工程から正規工程へ戻す際の検証プロセスは文書化し、顧客と協議しながら実施する,b,要求事項の適合した例：組立ラインの組立機が修理された場合、暫定工程から正規工程へ戻す際の検証プロセスを文書化し、4M変更管理規程と同期化し、管理しやすくする。適合していない例：組立ラインの組立機が修理された場合、暫定工程から正規工程へ戻す際の検証プロセスを文書化せずに自己判断で実施するか、顧客と協議しながら実施する。箇条要求事項の概要詳細解説：この条項は、組織が暫定工程から正規工程へ戻す場合の検証プロセスを文書化しなければならないことを求めている。また、このプロセスを4M変更管理規程と同期化し、管理しやすくしなければならない。
